model_alias,model_name,pair_type,mode,source_protocol,extraction_position,layer_index,mapping_balance_mappings,n_mapping_extractions,direction_l2,unscaled_direction_l2,mean_mapping_direction_l2,min_mapping_direction_l2,max_mapping_direction_l2,mapping_mean_norm_retention_ratio,mapping_balance_rescale_factor,matched_raw_l2
gemma2_9b_it,google/gemma-2-9b-it,normal_vs_expected,mapping_balanced_direction,counterbalanced_answer_mapping,pre_answer,31,"canonical_taboo_normal_expected,permutation_taboo_expected_normal,permutation_normal_taboo_expected,permutation_normal_expected_taboo,permutation_expected_taboo_normal,reversed_expected_normal_taboo",6,104.46336364746094,82.50908660888672,110.7033856709798,103.9512939453125,120.89275360107422,0.7453167408457676,1.2660832348325153,104.46337127685548
gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_expected,mapping_balanced_direction,counterbalanced_answer_mapping,pre_answer,31,"canonical_taboo_normal_expected,permutation_taboo_expected_normal,permutation_normal_taboo_expected,permutation_normal_expected_taboo,permutation_expected_taboo_normal,reversed_expected_normal_taboo",6,166.25653076171875,129.83206176757812,173.40037282307944,164.00062561035156,185.99365234375,0.7487415375977645,1.2805506474921944,166.25653076171875
gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_normal,mapping_balanced_direction,counterbalanced_answer_mapping,pre_answer,31,"canonical_taboo_normal_expected,permutation_taboo_expected_normal,permutation_normal_taboo_expected,permutation_normal_expected_taboo,permutation_expected_taboo_normal,reversed_expected_normal_taboo",6,152.27001953125,117.77762603759766,158.6033503214518,146.95059204101562,172.01901245117188,0.7425922958051644,1.292860322066956,152.27001953125
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,normal_vs_expected,mapping_balanced_direction,counterbalanced_answer_mapping,pre_answer,23,"canonical_taboo_normal_expected,permutation_taboo_expected_normal,permutation_normal_taboo_expected,permutation_normal_expected_taboo,permutation_expected_taboo_normal,reversed_expected_normal_taboo",6,3.298133850097656,2.365684986114502,3.339215358098348,3.2084455490112305,3.4530720710754395,0.70845535025981,1.3941559715077054,3.298133850097656
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,taboo_vs_expected,mapping_balanced_direction,counterbalanced_answer_mapping,pre_answer,23,"canonical_taboo_normal_expected,permutation_taboo_expected_normal,permutation_normal_taboo_expected,permutation_normal_expected_taboo,permutation_expected_taboo_normal,reversed_expected_normal_taboo",6,4.228344917297363,2.872621536254883,4.447450160980225,4.225687503814697,4.668008804321289,0.6459030303381191,1.4719465619711023,4.2283453941345215
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,taboo_vs_normal,mapping_balanced_direction,counterbalanced_answer_mapping,pre_answer,23,"canonical_taboo_normal_expected,permutation_taboo_expected_normal,permutation_normal_taboo_expected,permutation_normal_expected_taboo,permutation_expected_taboo_normal,reversed_expected_normal_taboo",6,3.950883865356445,2.673028945922852,4.083746830622355,3.904738187789917,4.262807369232178,0.6545530506149145,1.478055114143554,3.950884103775024
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,normal_vs_expected,mapping_balanced_direction,counterbalanced_answer_mapping,pre_answer,23,"canonical_taboo_normal_expected,permutation_taboo_expected_normal,permutation_normal_taboo_expected,permutation_normal_expected_taboo,permutation_expected_taboo_normal,reversed_expected_normal_taboo",6,4.870063304901123,3.512354612350464,4.433075745900472,3.842426300048828,5.034017086029053,0.7923064738062612,1.3865522825561405,4.870063304901123
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,taboo_vs_expected,mapping_balanced_direction,counterbalanced_answer_mapping,pre_answer,23,"canonical_taboo_normal_expected,permutation_taboo_expected_normal,permutation_normal_taboo_expected,permutation_normal_expected_taboo,permutation_expected_taboo_normal,reversed_expected_normal_taboo",6,6.0675249099731445,4.761068820953369,6.029767751693726,5.765181064605713,6.19381856918335,0.7895940634887659,1.2744039496488873,6.0675249099731445
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,taboo_vs_normal,mapping_balanced_direction,counterbalanced_answer_mapping,pre_answer,23,"canonical_taboo_normal_expected,permutation_taboo_expected_normal,permutation_normal_taboo_expected,permutation_normal_expected_taboo,permutation_expected_taboo_normal,reversed_expected_normal_taboo",6,5.634232997894287,4.472658634185791,5.702533801396688,5.620693683624268,5.8348798751831055,0.7843282986047938,1.259705570827663,5.634232997894287
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,normal_vs_expected,mapping_balanced_direction,counterbalanced_answer_mapping,pre_answer,20,"canonical_taboo_normal_expected,permutation_taboo_expected_normal,permutation_normal_taboo_expected,permutation_normal_expected_taboo,permutation_expected_taboo_normal,reversed_expected_normal_taboo",6,30.727266311645508,24.84189796447754,31.04278500874837,29.78653335571289,32.052207946777344,0.8002470769770393,1.2369130677105404,30.72726821899414
