scope,identifier_set,model_alias,model_name,component,mean_extraction_identifier_effect,mean_current_label_effect,mean_id_advantage,n_pairs,n_mappings
all_cells,letters_abc,gemma2_9b_it,google/gemma-2-9b-it,raw,3.1667640686035154,-0.15052661895751954,3.317290687561035,384,5
all_cells,letters_abc,gemma2_9b_it,google/gemma-2-9b-it,projection,3.099393844604492,-0.36768150329589844,3.4670753479003906,384,5
all_cells,letters_abc,gemma2_9b_it,google/gemma-2-9b-it,residual,-0.03640670776367187,0.19990100860595703,-0.2363077163696289,384,5
all_cells,letters_abc,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,raw,1.6310994942982993,-0.2114042282104492,1.8425037225087484,384,5
all_cells,letters_abc,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,projection,1.5808799902598063,-0.3024835427602132,1.8833635330200196,384,5
all_cells,letters_abc,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,residual,0.051901721954345705,0.07444214820861816,-0.02254042625427246,384,5
all_cells,letters_abc,mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,raw,4.976536905765533,-0.6925429900487264,5.66907989581426,384,5
all_cells,letters_abc,mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,projection,4.646726930141449,-0.9369192361831665,5.583646166324615,384,5
all_cells,letters_abc,mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,residual,0.322529669602712,0.12654386361440023,0.19598580598831178,384,5
all_cells,letters_abc,qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,raw,2.9667172825274366,2.9062386185862126,0.06047866394122441,384,5
all_cells,letters_abc,qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,projection,2.8402171174374717,2.610952363194277,0.22926475424319506,384,5
all_cells,letters_abc,qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,residual,0.0783850848985215,0.44235101221129297,-0.3639659273127715,384,5
all_cells,letters_xyz,gemma2_9b_it,google/gemma-2-9b-it,raw,0.4313077926635742,0.6730140050252279,-0.24170621236165366,384,5
all_cells,letters_xyz,gemma2_9b_it,google/gemma-2-9b-it,projection,0.9047246932983398,0.03504816691080729,0.8696765263875326,384,5
all_cells,letters_xyz,gemma2_9b_it,google/gemma-2-9b-it,residual,-0.5003547668457031,0.646963373819987,-1.14731814066569,384,5
all_cells,letters_xyz,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,raw,0.6815951983133952,0.004713948567708333,0.6768812497456869,384,5
all_cells,letters_xyz,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,projection,0.5015409469604493,-0.10303621292114258,0.6045771598815918,384,5
all_cells,letters_xyz,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,residual,0.17865492502848307,0.10565296808878581,0.07300195693969727,384,5
all_cells,letters_xyz,mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,raw,1.1778691291809082,0.030193765958150227,1.1476753632227579,384,5
all_cells,letters_xyz,mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,projection,0.765653657913208,-0.16864896615346273,0.9343026240666708,384,5
all_cells,letters_xyz,mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,residual,0.42615927855173746,0.19259217580159504,0.23356710275014242,384,5
all_cells,letters_xyz,qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,raw,2.913507893184821,2.39178933420529,0.5217185589795311,384,5
all_cells,letters_xyz,qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,projection,2.3657374776899815,2.113663947271804,0.2520735304181774,384,5
all_cells,letters_xyz,qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,residual,0.5492578434447447,0.26961331932495036,0.27964452411979435,384,5
all_cells,numbers_123,gemma2_9b_it,google/gemma-2-9b-it,raw,0.420797602335612,0.06580340067545573,0.35499420166015627,384,5
all_cells,numbers_123,gemma2_9b_it,google/gemma-2-9b-it,projection,0.4463320732116699,-0.03623908360799154,0.48257115681966145,384,5
all_cells,numbers_123,gemma2_9b_it,google/gemma-2-9b-it,residual,-0.027769851684570312,0.10056718190511067,-0.128337033589681,384,5
all_cells,numbers_123,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,raw,0.09175364176432292,-0.012907568613688152,0.10466121037801107,384,5
all_cells,numbers_123,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,projection,0.049494997660319014,-0.009857908884684245,0.059352906545003255,384,5
all_cells,numbers_123,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,residual,0.04246365229288737,-0.0023120880126953126,0.044775740305582686,384,5
all_cells,numbers_123,mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,raw,0.4189230680465698,-0.09005579948425294,0.5089788675308228,384,5
all_cells,numbers_123,mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,projection,0.22717175086339314,-0.04807923634847005,0.2752509872118632,384,5
all_cells,numbers_123,mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,residual,0.1909515937169393,-0.04658334255218506,0.23753493626912434,384,5
all_cells,numbers_123,qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,raw,0.4852475960118075,0.16724312078828613,0.3180044752235214,384,5
all_cells,numbers_123,qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,projection,0.33818943044170735,0.16590964095667005,0.17227978948503733,384,5
all_cells,numbers_123,qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,residual,0.1700283420893053,-0.004857798820982377,0.1748861409102877,384,5
vocabulary_competence,letters_abc,gemma2_9b_it,google/gemma-2-9b-it,raw,3.1667640686035154,-0.15052661895751954,3.317290687561035,384,5
vocabulary_competence,letters_abc,gemma2_9b_it,google/gemma-2-9b-it,projection,3.099393844604492,-0.36768150329589844,3.4670753479003906,384,5
vocabulary_competence,letters_abc,gemma2_9b_it,google/gemma-2-9b-it,residual,-0.03640670776367187,0.19990100860595703,-0.2363077163696289,384,5
vocabulary_competence,letters_abc,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,raw,1.5050751633114285,-0.3351555135515001,1.8402306768629286,384,3
vocabulary_competence,letters_abc,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,projection,1.497649457719591,-0.43406425582038033,1.9317137135399713,384,3
vocabulary_competence,letters_abc,llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,residual,0.012284331851535372,0.0829637845357259,-0.07067945268419054,384,3
vocabulary_competence,letters_abc,mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,raw,4.962680434187253,-0.4145798583825429,5.3772602925697965,384,4
