metric,model_alias,interface,n_model_contrast_seed_cells,mean_adjusted_gain,positive_pair_rate,standardized_detectability,option_order,permutation_class,is_source_mapping,n_moved_slots,mapping_name,model_label,metric_code,metric_label
semantic_target_margin,qwen2_5_7b_instruct,letter_permutation_expected_taboo_normal,15,3.4116167181481916,0.9450520833333333,2.9654591227281766,"expected,taboo,normal",three_cycle,False,3,permutation_expected_taboo_normal,Qwen,current_label_target,Semantic label
semantic_target_margin,qwen2_5_7b_instruct,letter_permutation_normal_expected_taboo,15,0.6273759772173233,0.6091145833333333,0.381417031063374,"normal,expected,taboo",three_cycle,False,3,permutation_normal_expected_taboo,Qwen,current_label_target,Semantic label
semantic_target_margin,qwen2_5_7b_instruct,letter_permutation_normal_taboo_expected,15,2.71831802835481,0.7971354166666667,2.8303742562059275,"normal,taboo,expected",transposition,False,2,permutation_normal_taboo_expected,Qwen,current_label_target,Semantic label
semantic_target_margin,qwen2_5_7b_instruct,letter_permutation_taboo_expected_normal,15,3.8527061515591208,0.7891927083333333,2.213986671227882,"taboo,expected,normal",transposition,False,2,permutation_taboo_expected_normal,Qwen,current_label_target,Semantic label
semantic_target_margin,qwen2_5_7b_instruct,letter_reversed,15,2.8887430376890633,0.881640625,3.2376790833079223,"expected,normal,taboo",transposition,False,2,reversed_expected_normal_taboo,Qwen,current_label_target,Semantic label
semantic_target_margin,llama3_1_8b_instruct,letter_permutation_expected_taboo_normal,15,-0.7658117455326849,0.17942708333333332,-2.82291906063988,"expected,taboo,normal",three_cycle,False,3,permutation_expected_taboo_normal,Llama,current_label_target,Semantic label
semantic_target_margin,llama3_1_8b_instruct,letter_permutation_normal_expected_taboo,15,-0.5170766577124596,0.186328125,-2.207991425007864,"normal,expected,taboo",three_cycle,False,3,permutation_normal_expected_taboo,Llama,current_label_target,Semantic label
semantic_target_margin,llama3_1_8b_instruct,letter_permutation_normal_taboo_expected,15,0.057922555464837294,0.6666666666666666,0.6212200216897393,"normal,taboo,expected",transposition,False,2,permutation_normal_taboo_expected,Llama,current_label_target,Semantic label
semantic_target_margin,llama3_1_8b_instruct,letter_permutation_taboo_expected_normal,15,0.7033503289024036,0.6666666666666666,1.3630786392196583,"taboo,expected,normal",transposition,False,2,permutation_taboo_expected_normal,Llama,current_label_target,Semantic label
semantic_target_margin,llama3_1_8b_instruct,letter_reversed,15,-0.7165093003047838,0.24270833333333333,-2.1313293550264762,"expected,normal,taboo",transposition,False,2,reversed_expected_normal_taboo,Llama,current_label_target,Semantic label
semantic_target_margin,mistral7b_instruct_v03,letter_permutation_expected_taboo_normal,15,-3.298202836513519,0.04596354166666667,-4.122051968427952,"expected,taboo,normal",three_cycle,False,3,permutation_expected_taboo_normal,Mistral,current_label_target,Semantic label
semantic_target_margin,mistral7b_instruct_v03,letter_permutation_normal_expected_taboo,15,-2.541535345051024,0.12109375,-2.334187637244243,"normal,expected,taboo",three_cycle,False,3,permutation_normal_expected_taboo,Mistral,current_label_target,Semantic label
semantic_target_margin,mistral7b_instruct_v03,letter_permutation_normal_taboo_expected,15,-0.6625186555915409,0.6450520833333333,0.37545735091134946,"normal,taboo,expected",transposition,False,2,permutation_normal_taboo_expected,Mistral,current_label_target,Semantic label
semantic_target_margin,mistral7b_instruct_v03,letter_permutation_taboo_expected_normal,15,3.0240078846613567,0.6666666666666666,0.7827064608104097,"taboo,expected,normal",transposition,False,2,permutation_taboo_expected_normal,Mistral,current_label_target,Semantic label
semantic_target_margin,mistral7b_instruct_v03,letter_reversed,15,-2.072694918844435,0.5319010416666666,-0.8094282357017819,"expected,normal,taboo",transposition,False,2,reversed_expected_normal_taboo,Mistral,current_label_target,Semantic label
semantic_target_margin,gemma2_9b_it,letter_permutation_expected_taboo_normal,15,-0.6481081379784478,0.305859375,-1.2920059512288293,"expected,taboo,normal",three_cycle,False,3,permutation_expected_taboo_normal,Gemma,current_label_target,Semantic label
semantic_target_margin,gemma2_9b_it,letter_permutation_normal_expected_taboo,15,-1.5466220908694799,0.066015625,-2.1850222950708664,"normal,expected,taboo",three_cycle,False,3,permutation_normal_expected_taboo,Gemma,current_label_target,Semantic label
semantic_target_margin,gemma2_9b_it,letter_permutation_normal_taboo_expected,15,0.651071956422594,0.6666666666666666,1.8156410974548611,"normal,taboo,expected",transposition,False,2,permutation_normal_taboo_expected,Gemma,current_label_target,Semantic label
semantic_target_margin,gemma2_9b_it,letter_permutation_taboo_expected_normal,15,1.255542066362169,0.6665364583333333,1.0300865802131605,"taboo,expected,normal",transposition,False,2,permutation_taboo_expected_normal,Gemma,current_label_target,Semantic label
