held_out_model,interface,n_models,n_contrasts,current_label_effect,extraction_id_effect,id_advantage
gemma2_9b_it,letter_contradiction_entailment_neutral,3,3,-0.0799919468937097,1.837998494347212,1.9179904412409217
gemma2_9b_it,letter_contradiction_neutral_entailment,3,3,0.1744751950863886,1.682792187909837,1.5083169928234486
gemma2_9b_it,letter_entailment_contradiction_neutral,3,3,2.9750631349851138,2.782483867866298,-0.192579267118816
gemma2_9b_it,letter_entailment_neutral_contradiction,3,3,4.643519996037638,4.643519996037638,0.0
gemma2_9b_it,letter_neutral_contradiction_entailment,3,3,0.9639353326556308,0.8163159113446319,-0.1476194213109987
gemma2_9b_it,letter_neutral_entailment_contradiction,3,3,2.7199294904522877,2.898150234000274,0.178220743547987
llama3_1_8b_instruct,letter_contradiction_entailment_neutral,3,3,-0.3433048155020784,2.395205575731341,2.73851039123342
llama3_1_8b_instruct,letter_contradiction_neutral_entailment,3,3,0.1875425639734775,2.1724233831106514,1.9848808191371736
llama3_1_8b_instruct,letter_entailment_contradiction_neutral,3,3,3.3028802593342133,3.69968749511711,0.3968072357828969
llama3_1_8b_instruct,letter_entailment_neutral_contradiction,3,3,5.643528493893919,5.643528493893919,0.0
llama3_1_8b_instruct,letter_neutral_contradiction_entailment,3,3,0.8647439769503696,1.3287842418515574,0.4640402649011876
llama3_1_8b_instruct,letter_neutral_entailment_contradiction,3,3,2.8548467204181684,3.562216842967879,0.7073701225497104
mistral7b_instruct_v03,letter_contradiction_entailment_neutral,3,3,0.1780047416135116,2.0296378188180157,1.8516330772045029
mistral7b_instruct_v03,letter_contradiction_neutral_entailment,3,3,0.6461319683533575,1.7629325962315,1.1168006278781428
mistral7b_instruct_v03,letter_entailment_contradiction_neutral,3,3,2.924206089511238,3.33712455128768,0.4129184617764419
mistral7b_instruct_v03,letter_entailment_neutral_contradiction,3,3,5.27029338080298,5.27029338080298,0.0
mistral7b_instruct_v03,letter_neutral_contradiction_entailment,3,3,0.8183648284317719,1.0434108380021323,0.2250460095703601
mistral7b_instruct_v03,letter_neutral_entailment_contradiction,3,3,2.853862794868096,3.241615568398049,0.3877527735299533
qwen2_5_7b_instruct,letter_contradiction_entailment_neutral,3,3,-1.6280588393961943,2.0570660994008736,3.685124938797068
qwen2_5_7b_instruct,letter_contradiction_neutral_entailment,3,3,-1.2271422723929086,1.865545986979096,3.092688259372005
qwen2_5_7b_instruct,letter_entailment_contradiction_neutral,3,3,0.9086804469426472,2.4283470546757737,1.519666607733126
qwen2_5_7b_instruct,letter_entailment_neutral_contradiction,3,3,2.7025446039659005,2.7025446039659005,0.0
qwen2_5_7b_instruct,letter_neutral_contradiction_entailment,3,3,-0.2622157299960101,1.8809274368815951,2.1431431668776053
qwen2_5_7b_instruct,letter_neutral_entailment_contradiction,3,3,1.0383187016955129,2.2889403729527085,1.2506216712571954
