scope,model_alias,interface,metric,estimate,ci_low,ci_high,ci_excludes_zero,n_groups,n_strata,confidence,estimand,model_label,mapping
model,qwen2_5_7b_instruct,letter_entailment_contradiction_neutral,current_label_effect,7.38478858994527,7.302925329111688,7.464202109919587,True,1482,3,0.95,equal_strata_premise_cluster_bootstrap,Qwen,E/C/N
model,qwen2_5_7b_instruct,letter_entailment_contradiction_neutral,extraction_id_effect,4.962601804919541,4.895511973454773,5.028359146630605,True,1482,3,0.95,equal_strata_premise_cluster_bootstrap,Qwen,E/C/N
model,qwen2_5_7b_instruct,letter_entailment_contradiction_neutral,id_advantage,-2.4221867850257293,-2.503051439045752,-2.342394850649216,True,1482,3,0.95,equal_strata_premise_cluster_bootstrap,Qwen,E/C/N
model,qwen2_5_7b_instruct,letter_neutral_entailment_contradiction,current_label_effect,6.352001602347527,6.299400055212352,6.40501658543083,True,1482,3,0.95,equal_strata_premise_cluster_bootstrap,Qwen,N/E/C
model,qwen2_5_7b_instruct,letter_neutral_entailment_contradiction,extraction_id_effect,5.124101899460786,5.081522453409399,5.166950265173124,True,1482,3,0.95,equal_strata_premise_cluster_bootstrap,Qwen,N/E/C
model,qwen2_5_7b_instruct,letter_neutral_entailment_contradiction,id_advantage,-1.2278997028867404,-1.2721443464113005,-1.182732093334643,True,1482,3,0.95,equal_strata_premise_cluster_bootstrap,Qwen,N/E/C
model,qwen2_5_7b_instruct,letter_neutral_contradiction_entailment,current_label_effect,3.1714755980297924,3.1196080071207777,3.224362290259463,True,1482,3,0.95,equal_strata_premise_cluster_bootstrap,Qwen,N/C/E
model,qwen2_5_7b_instruct,letter_neutral_contradiction_entailment,extraction_id_effect,-0.5733438825648692,-0.618706740213234,-0.5278723138855639,True,1482,3,0.95,equal_strata_premise_cluster_bootstrap,Qwen,N/C/E
model,qwen2_5_7b_instruct,letter_neutral_contradiction_entailment,id_advantage,-3.744819480594662,-3.8306862040687615,-3.6605029058714007,True,1482,3,0.95,equal_strata_premise_cluster_bootstrap,Qwen,N/C/E
model,qwen2_5_7b_instruct,letter_contradiction_entailment_neutral,current_label_effect,3.0108256580101123,2.964110463809666,3.0572464637482906,True,1482,3,0.95,equal_strata_premise_cluster_bootstrap,Qwen,C/E/N
model,qwen2_5_7b_instruct,letter_contradiction_entailment_neutral,extraction_id_effect,2.148709690094822,2.1000914279941845,2.1970616463086974,True,1482,3,0.95,equal_strata_premise_cluster_bootstrap,Qwen,C/E/N
model,qwen2_5_7b_instruct,letter_contradiction_entailment_neutral,id_advantage,-0.8621159679152899,-0.9366864199210304,-0.787517667576426,True,1482,3,0.95,equal_strata_premise_cluster_bootstrap,Qwen,C/E/N
model,qwen2_5_7b_instruct,letter_contradiction_neutral_entailment,current_label_effect,3.462434272199041,3.4203991600398225,3.504868305163636,True,1482,3,0.95,equal_strata_premise_cluster_bootstrap,Qwen,C/N/E
model,qwen2_5_7b_instruct,letter_contradiction_neutral_entailment,extraction_id_effect,1.8870561932937968,1.8388236985210733,1.935192062323816,True,1482,3,0.95,equal_strata_premise_cluster_bootstrap,Qwen,C/N/E
model,qwen2_5_7b_instruct,letter_contradiction_neutral_entailment,id_advantage,-1.5753780789052445,-1.636998485618767,-1.514098752397181,True,1482,3,0.95,equal_strata_premise_cluster_bootstrap,Qwen,C/N/E
model,llama3_1_8b_instruct,letter_entailment_contradiction_neutral,current_label_effect,0.2021891527705722,0.1966628025733642,0.207790074408967,True,1482,3,0.95,equal_strata_premise_cluster_bootstrap,Llama,E/C/N
model,llama3_1_8b_instruct,letter_entailment_contradiction_neutral,extraction_id_effect,1.1485804835955304,1.1398166262515002,1.1573018881577055,True,1482,3,0.95,equal_strata_premise_cluster_bootstrap,Llama,E/C/N
model,llama3_1_8b_instruct,letter_entailment_contradiction_neutral,id_advantage,0.946391330824958,0.9373188992214788,0.9556780483081336,True,1482,3,0.95,equal_strata_premise_cluster_bootstrap,Llama,E/C/N
model,llama3_1_8b_instruct,letter_neutral_entailment_contradiction,current_label_effect,0.9024175461795596,0.8961921828975801,0.9087678584932964,True,1482,3,0.95,equal_strata_premise_cluster_bootstrap,Llama,N/E/C
model,llama3_1_8b_instruct,letter_neutral_entailment_contradiction,extraction_id_effect,1.3042724894152748,1.2972333712635884,1.311219666405767,True,1482,3,0.95,equal_strata_premise_cluster_bootstrap,Llama,N/E/C
model,llama3_1_8b_instruct,letter_neutral_entailment_contradiction,id_advantage,0.4018549432357152,0.3959922839163258,0.4078958012395501,True,1482,3,0.95,equal_strata_premise_cluster_bootstrap,Llama,N/E/C
model,llama3_1_8b_instruct,letter_neutral_contradiction_entailment,current_label_effect,-0.2094035228093465,-0.2143126334094195,-0.2045194820523807,True,1482,3,0.95,equal_strata_premise_cluster_bootstrap,Llama,N/C/E
model,llama3_1_8b_instruct,letter_neutral_contradiction_entailment,extraction_id_effect,1.0830857025252447,1.0762855562904825,1.0896944832921325,True,1482,3,0.95,equal_strata_premise_cluster_bootstrap,Llama,N/C/E
model,llama3_1_8b_instruct,letter_neutral_contradiction_entailment,id_advantage,1.2924892253345914,1.2821122066215418,1.3029791463124314,True,1482,3,0.95,equal_strata_premise_cluster_bootstrap,Llama,N/C/E
model,llama3_1_8b_instruct,letter_contradiction_entailment_neutral,current_label_effect,-0.8434364136722353,-0.8502124228880092,-0.8367443822289747,True,1482,3,0.95,equal_strata_premise_cluster_bootstrap,Llama,C/E/N
model,llama3_1_8b_instruct,letter_contradiction_entailment_neutral,extraction_id_effect,1.1342912611034182,1.1257742481876392,1.1427325010267904,True,1482,3,0.95,equal_strata_premise_cluster_bootstrap,Llama,C/E/N
model,llama3_1_8b_instruct,letter_contradiction_entailment_neutral,id_advantage,1.9777276747756536,1.9640753952610712,1.9912848877092275,True,1482,3,0.95,equal_strata_premise_cluster_bootstrap,Llama,C/E/N
model,llama3_1_8b_instruct,letter_contradiction_neutral_entailment,current_label_effect,-0.7816202369001178,-0.786959307118608,-0.7763290069659283,True,1482,3,0.95,equal_strata_premise_cluster_bootstrap,Llama,C/N/E
model,llama3_1_8b_instruct,letter_contradiction_neutral_entailment,extraction_id_effect,0.9664240048991308,0.9610791170911072,0.9718019209540012,True,1482,3,0.95,equal_strata_premise_cluster_bootstrap,Llama,C/N/E
model,llama3_1_8b_instruct,letter_contradiction_neutral_entailment,id_advantage,1.748044241799249,1.739463692503516,1.7566557760354142,True,1482,3,0.95,equal_strata_premise_cluster_bootstrap,Llama,C/N/E
model,mistral7b_instruct_v03,letter_entailment_contradiction_neutral,current_label_effect,1.3382116622394988,1.31831905309359,1.358313883620437,True,1482,3,0.95,equal_strata_premise_cluster_bootstrap,Mistral,E/C/N
model,mistral7b_instruct_v03,letter_entailment_contradiction_neutral,extraction_id_effect,2.2362693150838218,2.2110702740965973,2.261341724838448,True,1482,3,0.95,equal_strata_premise_cluster_bootstrap,Mistral,E/C/N
model,mistral7b_instruct_v03,letter_entailment_contradiction_neutral,id_advantage,0.898057652844323,0.8677652237669332,0.9276776765684954,True,1482,3,0.95,equal_strata_premise_cluster_bootstrap,Mistral,E/C/N
model,mistral7b_instruct_v03,letter_neutral_entailment_contradiction,current_label_effect,0.9053693228297762,0.8918374007207441,0.9184682897686915,True,1482,3,0.95,equal_strata_premise_cluster_bootstrap,Mistral,N/E/C
model,mistral7b_instruct_v03,letter_neutral_entailment_contradiction,extraction_id_effect,2.266076313124763,2.249177240433518,2.2828102978617912,True,1482,3,0.95,equal_strata_premise_cluster_bootstrap,Mistral,N/E/C
model,mistral7b_instruct_v03,letter_neutral_entailment_contradiction,id_advantage,1.3607069902949869,1.3449914403327572,1.3759591219662948,True,1482,3,0.95,equal_strata_premise_cluster_bootstrap,Mistral,N/E/C
model,mistral7b_instruct_v03,letter_neutral_contradiction_entailment,current_label_effect,-0.0702660772535535,-0.0834507859670113,-0.0571923805187906,True,1482,3,0.95,equal_strata_premise_cluster_bootstrap,Mistral,N/C/E
model,mistral7b_instruct_v03,letter_neutral_contradiction_entailment,extraction_id_effect,1.9392059140735205,1.923991469848378,1.9539957289850247,True,1482,3,0.95,equal_strata_premise_cluster_bootstrap,Mistral,N/C/E
model,mistral7b_instruct_v03,letter_neutral_contradiction_entailment,id_advantage,2.0094719913270738,1.984456022236287,2.034956580578428,True,1482,3,0.95,equal_strata_premise_cluster_bootstrap,Mistral,N/C/E
model,mistral7b_instruct_v03,letter_contradiction_entailment_neutral,current_label_effect,-2.4073650850190056,-2.4310180209826684,-2.3842974653123017,True,1482,3,0.95,equal_strata_premise_cluster_bootstrap,Mistral,C/E/N
model,mistral7b_instruct_v03,letter_contradiction_entailment_neutral,extraction_id_effect,2.230994531843397,2.210496612461581,2.251673716865205,True,1482,3,0.95,equal_strata_premise_cluster_bootstrap,Mistral,C/E/N
model,mistral7b_instruct_v03,letter_contradiction_entailment_neutral,id_advantage,4.638359616862403,4.599302754384212,4.677556030785828,True,1482,3,0.95,equal_strata_premise_cluster_bootstrap,Mistral,C/E/N
model,mistral7b_instruct_v03,letter_contradiction_neutral_entailment,current_label_effect,-2.157388450039758,-2.1792792213787435,-2.134963453333916,True,1482,3,0.95,equal_strata_premise_cluster_bootstrap,Mistral,C/N/E
