dataset,model_alias,pair_type,mode,direction,eval_direction,n_items,base_intended_acc,patched_intended_acc,mean_delta_target_prob,mean_js_shift,prediction_changed_rate,delta_intended_acc
moral_integrity_corpus,gemma2_9b_it,care__disagree_vs_agree,mixed_shared_residual,mixed_shared_residual,negative_to_positive,128,0.24609375,0.64453125,0.3530785143375397,0.1368796173694067,0.3984375,0.3984375
moral_integrity_corpus,gemma2_9b_it,care__disagree_vs_agree,mixed_shared_residual,mixed_shared_residual,positive_to_negative,128,0.44140625,0.7421875,0.2877291515469551,0.11287905306057174,0.30078125,0.30078125
moral_integrity_corpus,gemma2_9b_it,care__disagree_vs_agree,random_direction_control,random_control,negative_to_positive,128,0.24609375,0.24609375,0.0010446608066558849,9.082470483614976e-05,0.0,0.0
moral_integrity_corpus,gemma2_9b_it,care__disagree_vs_agree,random_direction_control,random_control,positive_to_negative,128,0.44140625,0.4453125,0.0002004206180572535,0.00010439143888382967,0.00390625,0.00390625
moral_integrity_corpus,gemma2_9b_it,care__disagree_vs_agree,raw_caa_direction,raw_caa,negative_to_positive,128,0.24609375,0.640625,0.35872045159339905,0.13807767309507404,0.39453125,0.39453125
moral_integrity_corpus,gemma2_9b_it,care__disagree_vs_agree,raw_caa_direction,raw_caa,positive_to_negative,128,0.44140625,0.76171875,0.29444969445466995,0.11871384104876152,0.3203125,0.3203125
moral_integrity_corpus,gemma2_9b_it,care__disagree_vs_agree,residual_only_direction,contrast_specific_residual,negative_to_positive,128,0.24609375,0.3125,0.06387509405612946,0.024015674619430098,0.11328125,0.06640625
moral_integrity_corpus,gemma2_9b_it,care__disagree_vs_agree,residual_only_direction,contrast_specific_residual,positive_to_negative,128,0.44140625,0.50390625,0.04975247755646706,0.022352696873171547,0.1015625,0.0625
moral_integrity_corpus,gemma2_9b_it,care__disagree_vs_agree,shared_only_direction,shared_evaluative,negative_to_positive,128,0.24609375,0.64453125,0.3530785143375397,0.1368796173694067,0.3984375,0.3984375
moral_integrity_corpus,gemma2_9b_it,care__disagree_vs_agree,shared_only_direction,shared_evaluative,positive_to_negative,128,0.44140625,0.7421875,0.2877291515469551,0.11287905306057174,0.30078125,0.30078125
moral_integrity_corpus,gemma2_9b_it,care__disagree_vs_agree,wrong_direction_control,wrong_direction_control,negative_to_positive,128,0.24609375,0.0546875,-0.17823538184165955,0.07173791555809332,0.19140625,-0.19140625
moral_integrity_corpus,gemma2_9b_it,care__disagree_vs_agree,wrong_direction_control,wrong_direction_control,positive_to_negative,128,0.44140625,0.14453125,-0.25120777636766434,0.0927162752771752,0.296875,-0.296875
moral_integrity_corpus,gemma2_9b_it,care__disagree_vs_agree,zero_direction_control,zero_direction_control,negative_to_positive,128,0.24609375,0.24609375,0.0,0.0,0.0,0.0
moral_integrity_corpus,gemma2_9b_it,care__disagree_vs_agree,zero_direction_control,zero_direction_control,positive_to_negative,128,0.44140625,0.44140625,0.0,0.0,0.0,0.0
moral_integrity_corpus,gemma2_9b_it,fairness__disagree_vs_agree,mixed_shared_residual,mixed_shared_residual,negative_to_positive,30,0.26666666666666666,0.8166666666666667,0.45646883646647135,0.18673144082427048,0.55,0.55
moral_integrity_corpus,gemma2_9b_it,fairness__disagree_vs_agree,mixed_shared_residual,mixed_shared_residual,positive_to_negative,30,0.5166666666666667,0.8666666666666667,0.30084864298502606,0.11814073845571668,0.35,0.35
moral_integrity_corpus,gemma2_9b_it,fairness__disagree_vs_agree,random_direction_control,random_control,negative_to_positive,30,0.26666666666666666,0.26666666666666666,-0.0010866165161132813,0.0001301341920914516,0.0,0.0
moral_integrity_corpus,gemma2_9b_it,fairness__disagree_vs_agree,random_direction_control,random_control,positive_to_negative,30,0.5166666666666667,0.5166666666666667,0.00023384094238281043,0.0001690095340606492,0.0,0.0
moral_integrity_corpus,gemma2_9b_it,fairness__disagree_vs_agree,raw_caa_direction,raw_caa,negative_to_positive,30,0.26666666666666666,0.7333333333333333,0.38625806172688804,0.1507261612807825,0.4666666666666667,0.4666666666666666
moral_integrity_corpus,gemma2_9b_it,fairness__disagree_vs_agree,raw_caa_direction,raw_caa,positive_to_negative,30,0.5166666666666667,0.7833333333333333,0.23821029663085938,0.08110466626289506,0.26666666666666666,0.2666666666666666
moral_integrity_corpus,gemma2_9b_it,fairness__disagree_vs_agree,residual_only_direction,contrast_specific_residual,negative_to_positive,30,0.26666666666666666,0.5,0.20312945048014322,0.09343453145975765,0.3,0.23333333333333334
moral_integrity_corpus,gemma2_9b_it,fairness__disagree_vs_agree,residual_only_direction,contrast_specific_residual,positive_to_negative,30,0.5166666666666667,0.6833333333333333,0.12298520406087239,0.06958040895645913,0.23333333333333334,0.16666666666666663
moral_integrity_corpus,gemma2_9b_it,fairness__disagree_vs_agree,shared_only_direction,shared_evaluative,negative_to_positive,30,0.26666666666666666,0.8166666666666667,0.45646883646647135,0.18673144082427048,0.55,0.55
moral_integrity_corpus,gemma2_9b_it,fairness__disagree_vs_agree,shared_only_direction,shared_evaluative,positive_to_negative,30,0.5166666666666667,0.8666666666666667,0.30084864298502606,0.11814073845571668,0.35,0.35
moral_integrity_corpus,gemma2_9b_it,fairness__disagree_vs_agree,wrong_direction_control,wrong_direction_control,negative_to_positive,30,0.26666666666666666,0.03333333333333333,-0.18674036661783855,0.06252239856522658,0.23333333333333334,-0.23333333333333334
moral_integrity_corpus,gemma2_9b_it,fairness__disagree_vs_agree,wrong_direction_control,wrong_direction_control,positive_to_negative,30,0.5166666666666667,0.2,-0.296544869740804,0.11276079232892015,0.31666666666666665,-0.3166666666666667
moral_integrity_corpus,gemma2_9b_it,fairness__disagree_vs_agree,zero_direction_control,zero_direction_control,negative_to_positive,30,0.26666666666666666,0.26666666666666666,0.0,0.0,0.0,0.0
moral_integrity_corpus,gemma2_9b_it,fairness__disagree_vs_agree,zero_direction_control,zero_direction_control,positive_to_negative,30,0.5166666666666667,0.5166666666666667,0.0,0.0,0.0,0.0
moral_integrity_corpus,gemma2_9b_it,loyalty__disagree_vs_agree,mixed_shared_residual,mixed_shared_residual,negative_to_positive,26,0.25,0.7115384615384616,0.4137717760526217,0.17273812974925268,0.46153846153846156,0.46153846153846156
moral_integrity_corpus,gemma2_9b_it,loyalty__disagree_vs_agree,mixed_shared_residual,mixed_shared_residual,positive_to_negative,26,0.38461538461538464,0.7884615384615384,0.3512111076941857,0.14458845088829905,0.40384615384615385,0.4038461538461538
moral_integrity_corpus,gemma2_9b_it,loyalty__disagree_vs_agree,random_direction_control,random_control,negative_to_positive,26,0.25,0.25,-0.0008429747361403245,6.477315539744738e-05,0.0,0.0
moral_integrity_corpus,gemma2_9b_it,loyalty__disagree_vs_agree,random_direction_control,random_control,positive_to_negative,26,0.38461538461538464,0.40384615384615385,0.004911055931678186,0.0002136633720983226,0.019230769230769232,0.019230769230769218
moral_integrity_corpus,gemma2_9b_it,loyalty__disagree_vs_agree,raw_caa_direction,raw_caa,negative_to_positive,26,0.25,0.7115384615384616,0.4216171411367563,0.17567747954457652,0.46153846153846156,0.46153846153846156
moral_integrity_corpus,gemma2_9b_it,loyalty__disagree_vs_agree,raw_caa_direction,raw_caa,positive_to_negative,26,0.38461538461538464,0.7884615384615384,0.3609485626220703,0.15153500258136787,0.40384615384615385,0.4038461538461538
moral_integrity_corpus,gemma2_9b_it,loyalty__disagree_vs_agree,residual_only_direction,contrast_specific_residual,negative_to_positive,26,0.25,0.5384615384615384,0.2785771443293645,0.1047638692856839,0.28846153846153844,0.28846153846153844
moral_integrity_corpus,gemma2_9b_it,loyalty__disagree_vs_agree,residual_only_direction,contrast_specific_residual,positive_to_negative,26,0.38461538461538464,0.6346153846153846,0.25839776259202224,0.09393702810873682,0.25,0.24999999999999994
moral_integrity_corpus,gemma2_9b_it,loyalty__disagree_vs_agree,shared_only_direction,shared_evaluative,negative_to_positive,26,0.25,0.7115384615384616,0.4137717760526217,0.17273812974925268,0.46153846153846156,0.46153846153846156
moral_integrity_corpus,gemma2_9b_it,loyalty__disagree_vs_agree,shared_only_direction,shared_evaluative,positive_to_negative,26,0.38461538461538464,0.7884615384615384,0.3512111076941857,0.14458845088829905,0.40384615384615385,0.4038461538461538
moral_integrity_corpus,gemma2_9b_it,loyalty__disagree_vs_agree,wrong_direction_control,wrong_direction_control,negative_to_positive,26,0.25,0.038461538461538464,-0.1720871925354004,0.07071312762903854,0.21153846153846154,-0.21153846153846154
moral_integrity_corpus,gemma2_9b_it,loyalty__disagree_vs_agree,wrong_direction_control,wrong_direction_control,positive_to_negative,26,0.38461538461538464,0.09615384615384616,-0.2549293224628155,0.09843206934381474,0.28846153846153844,-0.2884615384615385
moral_integrity_corpus,gemma2_9b_it,loyalty__disagree_vs_agree,zero_direction_control,zero_direction_control,negative_to_positive,26,0.25,0.25,0.0,0.0,0.0,0.0
moral_integrity_corpus,gemma2_9b_it,loyalty__disagree_vs_agree,zero_direction_control,zero_direction_control,positive_to_negative,26,0.38461538461538464,0.38461538461538464,0.0,0.0,0.0,0.0
moral_integrity_corpus,llama3_1_8b_instruct,care__disagree_vs_agree,mixed_shared_residual,mixed_shared_residual,negative_to_positive,128,0.23828125,0.828125,0.27193737030029297,0.04431117169477691,0.58984375,0.58984375
moral_integrity_corpus,llama3_1_8b_instruct,care__disagree_vs_agree,mixed_shared_residual,mixed_shared_residual,positive_to_negative,128,0.46875,0.86328125,0.23470020294189453,0.03636204794554937,0.39453125,0.39453125
moral_integrity_corpus,llama3_1_8b_instruct,care__disagree_vs_agree,random_direction_control,random_control,negative_to_positive,128,0.23828125,0.234375,0.002422332763671875,0.0001720586516873728,0.03515625,-0.00390625
moral_integrity_corpus,llama3_1_8b_instruct,care__disagree_vs_agree,random_direction_control,random_control,positive_to_negative,128,0.46875,0.4765625,-0.0005040168762207031,0.00019851168502589783,0.03125,0.0078125
moral_integrity_corpus,llama3_1_8b_instruct,care__disagree_vs_agree,raw_caa_direction,raw_caa,negative_to_positive,128,0.23828125,0.8359375,0.27609920501708984,0.045549252506018295,0.59765625,0.59765625
moral_integrity_corpus,llama3_1_8b_instruct,care__disagree_vs_agree,raw_caa_direction,raw_caa,positive_to_negative,128,0.46875,0.875,0.23929691314697266,0.03786420063830699,0.40625,0.40625
moral_integrity_corpus,llama3_1_8b_instruct,care__disagree_vs_agree,residual_only_direction,contrast_specific_residual,negative_to_positive,128,0.23828125,0.15625,-0.047054290771484375,0.0016259221415318265,0.08203125,-0.08203125
moral_integrity_corpus,llama3_1_8b_instruct,care__disagree_vs_agree,residual_only_direction,contrast_specific_residual,positive_to_negative,128,0.46875,0.37890625,-0.0491938591003418,0.0018544111925979003,0.08984375,-0.08984375
moral_integrity_corpus,llama3_1_8b_instruct,care__disagree_vs_agree,shared_only_direction,shared_evaluative,negative_to_positive,128,0.23828125,0.828125,0.27193737030029297,0.04431117169477691,0.58984375,0.58984375
moral_integrity_corpus,llama3_1_8b_instruct,care__disagree_vs_agree,shared_only_direction,shared_evaluative,positive_to_negative,128,0.46875,0.86328125,0.23470020294189453,0.03636204794554937,0.39453125,0.39453125
moral_integrity_corpus,llama3_1_8b_instruct,care__disagree_vs_agree,wrong_direction_control,wrong_direction_control,negative_to_positive,128,0.23828125,0.03125,-0.19925761222839355,0.02893904912915921,0.20703125,-0.20703125
moral_integrity_corpus,llama3_1_8b_instruct,care__disagree_vs_agree,wrong_direction_control,wrong_direction_control,positive_to_negative,128,0.46875,0.07421875,-0.23233401775360107,0.03755261986894978,0.39453125,-0.39453125
moral_integrity_corpus,llama3_1_8b_instruct,care__disagree_vs_agree,zero_direction_control,zero_direction_control,negative_to_positive,128,0.23828125,0.23828125,0.0,0.0,0.0,0.0
moral_integrity_corpus,llama3_1_8b_instruct,care__disagree_vs_agree,zero_direction_control,zero_direction_control,positive_to_negative,128,0.46875,0.46875,0.0,0.0,0.0,0.0
moral_integrity_corpus,llama3_1_8b_instruct,fairness__disagree_vs_agree,mixed_shared_residual,mixed_shared_residual,negative_to_positive,30,0.16666666666666666,0.9333333333333333,0.32644856770833336,0.06260021235137204,0.7666666666666667,0.7666666666666667
moral_integrity_corpus,llama3_1_8b_instruct,fairness__disagree_vs_agree,mixed_shared_residual,mixed_shared_residual,positive_to_negative,30,0.5666666666666667,0.9333333333333333,0.2642903645833333,0.04788106006091743,0.36666666666666664,0.3666666666666667
moral_integrity_corpus,llama3_1_8b_instruct,fairness__disagree_vs_agree,random_direction_control,random_control,negative_to_positive,30,0.16666666666666666,0.16666666666666666,0.0006998697916666667,0.00015462266766997333,0.0,0.0
moral_integrity_corpus,llama3_1_8b_instruct,fairness__disagree_vs_agree,random_direction_control,random_control,positive_to_negative,30,0.5666666666666667,0.5666666666666667,-0.00030924479166666665,0.00016220687108602213,0.0,0.0
