target_mode,interface,metric,n_random_seeds,seed_mean,seed_sd,seed_min,seed_max,n_positive_seeds,n_negative_seeds
label_only_direction,direct_label_completion,discrimination_gap_change,5,0.07451499737799168,0.05434822638319977,-0.007100424108405908,0.13558297252489462,4,1
label_only_direction,direct_label_completion,patched_rank_correct,5,0.002918836805555556,0.0008249382729491411,0.0016818576388888892,0.0036349826388888894,5,0
label_only_direction,letter_canonical,discrimination_gap_change,5,-0.2400759578268561,0.031858415549127495,-0.28382425336167216,-0.19904945123319825,0,5
label_only_direction,letter_canonical,patched_rank_correct,5,0.0003038194444444444,0.0007484226672985415,-0.0006510416666666666,0.0013020833333333333,4,1
label_only_direction,letter_reversed,discrimination_gap_change,5,-0.16877366323024035,0.02689358016655683,-0.19599140368195045,-0.1319179247236914,0,5
label_only_direction,letter_reversed,patched_rank_correct,5,-0.0002170138888888889,0.0013574214413190975,-0.00146484375,0.0018446180555555553,2,3
label_only_direction,opaque_completion,discrimination_gap_change,5,-0.07673259544616384,0.02001549175981803,-0.08879727160496663,-0.04164555892445302,0,5
label_only_direction,opaque_completion,patched_rank_correct,5,0.0003797743055555556,0.0012531260267416558,-0.0008138020833333334,0.0022243923611111114,2,3
mapping_balanced_direction,direct_label_completion,discrimination_gap_change,5,0.018953634250081244,0.05434822638319977,-0.06266178723631634,0.08002160939698418,4,1
mapping_balanced_direction,direct_label_completion,patched_rank_correct,5,-0.007335069444444444,0.0008249382729491414,-0.008572048611111112,-0.006618923611111112,0,5
mapping_balanced_direction,letter_canonical,discrimination_gap_change,5,0.04731941810912556,0.0318584155491275,0.0035711225743095126,0.08834592470278342,5,0
mapping_balanced_direction,letter_canonical,patched_rank_correct,5,-0.004253472222222222,0.0007484226672985415,-0.005208333333333333,-0.0032552083333333335,0,5
mapping_balanced_direction,letter_reversed,discrimination_gap_change,5,0.10935506343634593,0.026893580166556835,0.08213732298463583,0.14621080194289487,5,0
mapping_balanced_direction,letter_reversed,patched_rank_correct,5,-0.0024956597222222225,0.0013574214413190975,-0.0037434895833333335,-0.00043402777777777797,0,5
mapping_balanced_direction,opaque_completion,discrimination_gap_change,5,-0.06328692819224671,0.020015491759818028,-0.0753516043510495,-0.028199891670535892,0,5
mapping_balanced_direction,opaque_completion,patched_rank_correct,5,-0.00656467013888889,0.0012531260267416558,-0.007758246527777779,-0.004720052083333333,0,5
raw_pre_answer,direct_label_completion,discrimination_gap_change,5,0.09800150289924608,0.05434822638319976,0.016386081412848513,0.15906947804614902,5,0
raw_pre_answer,direct_label_completion,patched_rank_correct,5,-0.005707465277777778,0.0008249382729491413,-0.006944444444444445,-0.004991319444444445,0,5
raw_pre_answer,letter_canonical,discrimination_gap_change,5,-0.8617275699973106,0.03185841554912754,-0.9054758655321268,-0.8207010634036528,0,5
raw_pre_answer,letter_canonical,patched_rank_correct,5,-0.014778645833333335,0.000748422667298541,-0.015733506944444444,-0.013780381944444446,0,5
raw_pre_answer,letter_reversed,discrimination_gap_change,5,-0.18213718565594816,0.026893580166556814,-0.20935492610765824,-0.14528144714939925,0,5
raw_pre_answer,letter_reversed,patched_rank_correct,5,-0.0017361111111111112,0.0013574214413190977,-0.002983940972222222,0.0003255208333333333,1,4
raw_pre_answer,opaque_completion,discrimination_gap_change,5,-0.07920816731331999,0.020015491759818028,-0.09127284347212278,-0.044121130791609176,0,5
raw_pre_answer,opaque_completion,patched_rank_correct,5,-0.0016818576388888892,0.0012531260267416554,-0.002875434027777778,0.0001627604166666664,1,4
