scope,n_items,pearson_r,spearman_rho,mean_absolute_difference,exact_rounded_agreement,within_one_point_rate,quadratic_weighted_kappa
human_1_vs_human_2,180,0.929907755989412,0.8957462720929098,0.7166666666666667,0.6222222222222222,0.8222222222222222,0.9197031871895344
llm_judge_vs_human_mean,180,0.8227860543050568,0.77468995260467,0.9583333333333334,0.6722222222222223,0.8,0.8287754661692338
llm_judge_vs_human_mean:hallucination,60,0.8968340431738109,0.9023551715669736,1.075,0.5666666666666667,0.7,0.904432361179766
llm_judge_vs_human_mean:refusal,60,0.7608224844340988,0.8227647823160149,1.025,0.8666666666666667,0.8666666666666667,0.706078016328999
llm_judge_vs_human_mean:sycophancy,60,0.820971960758501,0.6017277389269408,0.775,0.5833333333333334,0.8333333333333334,0.8262191810578907
gpt5_1_rubric_v3_vs_human_mean,180,0.8227860543050568,0.77468995260467,0.9583333333333334,0.6722222222222223,0.8,0.8287754661692338
claude_sonnet_4_6_rubric_v3_vs_human_mean,180,0.9003524949122212,0.8358796835391442,0.8416666666666667,0.5222222222222223,0.8333333333333334,0.8934641696736166
gemini_3_5_flash_rubric_v3_batch10_vs_human_mean,180,0.923923165869832,0.924127466913354,0.6138888888888889,0.75,0.8388888888888889,0.926048909221411
three_judge_panel_vs_human_mean,180,0.9261288295908752,0.8494722367869357,0.6638888888888889,0.6944444444444444,0.8166666666666667,0.9278667738743196
three_judge_panel_vs_human_mean:hallucination,60,0.9527529499807204,0.9531162728722185,0.6361111111111112,0.6666666666666666,0.8,0.9536385790422602
three_judge_panel_vs_human_mean:refusal,60,0.8968425340473957,0.6852061486352045,0.8361111111111111,0.7833333333333333,0.8166666666666667,0.8648449039881831
three_judge_panel_vs_human_mean:sycophancy,60,0.9537753858782388,0.8305702735498849,0.5194444444444445,0.6333333333333333,0.8333333333333334,0.939693643710047
