model_alias,model_name,template,semantic_mapping,identifier_set,row_order,n_items,accuracy,macro_f1
gemma2_9b_it,google/gemma-2-9b-it,primary,canonical_taboo_normal_expected,letters_abc,order_123,3072,0.4677734375,0.4591043858812092
gemma2_9b_it,google/gemma-2-9b-it,primary,permutation_expected_taboo_normal,letters_abc,order_123,3072,0.46484375,0.4627723135381523
gemma2_9b_it,google/gemma-2-9b-it,primary,permutation_normal_expected_taboo,letters_abc,order_123,3072,0.4993489583333333,0.5022258968367345
gemma2_9b_it,google/gemma-2-9b-it,primary,permutation_normal_taboo_expected,letters_abc,order_123,3072,0.4853515625,0.4842412371623862
gemma2_9b_it,google/gemma-2-9b-it,primary,permutation_taboo_expected_normal,letters_abc,order_123,3072,0.4625651041666667,0.4551464977258813
gemma2_9b_it,google/gemma-2-9b-it,primary,reversed_expected_normal_taboo,letters_abc,order_123,3072,0.4886067708333333,0.4889338010703932
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,primary,canonical_taboo_normal_expected,letters_abc,order_123,3072,0.4817708333333333,0.4799299242856922
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,primary,permutation_expected_taboo_normal,letters_abc,order_123,3072,0.4671223958333333,0.457228966118181
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,primary,permutation_normal_expected_taboo,letters_abc,order_123,3072,0.4957682291666667,0.4961314210287466
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,primary,permutation_normal_taboo_expected,letters_abc,order_123,3072,0.4886067708333333,0.4828929968309547
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,primary,permutation_taboo_expected_normal,letters_abc,order_123,3072,0.4567057291666667,0.4428574650853603
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,primary,reversed_expected_normal_taboo,letters_abc,order_123,3072,0.453125,0.4202940379435972
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,primary,canonical_taboo_normal_expected,letters_abc,order_123,3072,0.4625651041666667,0.4530128171132785
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,primary,permutation_expected_taboo_normal,letters_abc,order_123,3072,0.43359375,0.3948245709997491
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,primary,permutation_normal_expected_taboo,letters_abc,order_123,3072,0.4908854166666667,0.4808317211131407
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,primary,permutation_normal_taboo_expected,letters_abc,order_123,3072,0.5110677083333334,0.5033568258346519
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,primary,permutation_taboo_expected_normal,letters_abc,order_123,3072,0.4778645833333333,0.4776396469487549
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,primary,reversed_expected_normal_taboo,letters_abc,order_123,3072,0.4391276041666667,0.4092990938407787
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,primary,canonical_taboo_normal_expected,letters_abc,order_123,3072,0.521484375,0.508632690076549
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,primary,permutation_expected_taboo_normal,letters_abc,order_123,3072,0.501953125,0.4914290866671005
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,primary,permutation_normal_expected_taboo,letters_abc,order_123,3072,0.5113932291666666,0.4868684734303192
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,primary,permutation_normal_taboo_expected,letters_abc,order_123,3072,0.5218098958333334,0.4985659436599374
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,primary,permutation_taboo_expected_normal,letters_abc,order_123,3072,0.5166015625,0.5111553255544924
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,primary,reversed_expected_normal_taboo,letters_abc,order_123,3072,0.5048828125,0.5000772465724858
