model_alias,model_name,pair_type,mode,extraction_mapping,extraction_position,layer_index,subspace_dim,direction_l2,direction_sha256,shared_explained_variance,basis_protocol,basis_source_contrasts,n_basis_contrasts,self_included_in_basis,unnormalized_projection_l2,unnormalized_residual_l2,projection_ratio,n_train_pairs,source_protocol,mapping_balance_mappings,n_mapping_extractions,unscaled_direction_l2,mean_mapping_direction_l2,min_mapping_direction_l2,max_mapping_direction_l2,mapping_mean_norm_retention_ratio,mapping_balance_rescale_factor,matched_raw_l2,model_label,norm_match_absolute_error
gemma2_9b_it,google/gemma-2-9b-it,normal_vs_expected,mapping_balanced_direction,,pre_answer,31,,102.16438293457033,,,,,,,,,,,counterbalanced_answer_mapping,"canonical_taboo_normal_expected,permutation_taboo_expected_normal,permutation_normal_taboo_expected,permutation_normal_expected_taboo,permutation_expected_taboo_normal,reversed_expected_normal_taboo",6.0,80.19888305664062,108.6814816792806,102.16438293457033,116.3887710571289,0.7379259264545894,1.2738878528073327,102.16438293457033,Gemma,0.0
gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_expected,mapping_balanced_direction,,pre_answer,31,,171.40963745117188,,,,,,,,,,,counterbalanced_answer_mapping,"canonical_taboo_normal_expected,permutation_taboo_expected_normal,permutation_normal_taboo_expected,permutation_normal_expected_taboo,permutation_expected_taboo_normal,reversed_expected_normal_taboo",6.0,133.8360595703125,178.97594451904297,168.7415313720703,191.3722686767578,0.7477879774847195,1.2807433064115252,171.40963745117188,Gemma,0.0
gemma2_9b_it,google/gemma-2-9b-it,taboo_vs_normal,mapping_balanced_direction,,pre_answer,31,,154.52992248535156,,,,,,,,,,,counterbalanced_answer_mapping,"canonical_taboo_normal_expected,permutation_taboo_expected_normal,permutation_normal_taboo_expected,permutation_normal_expected_taboo,permutation_expected_taboo_normal,reversed_expected_normal_taboo",6.0,119.56991577148438,161.32934061686197,150.5404052734375,173.61972045898438,0.7411541838223261,1.29238129414326,154.52992248535156,Gemma,0.0
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,normal_vs_expected,mapping_balanced_direction,,pre_answer,23,,3.297675848007202,,,,,,,,,,,counterbalanced_answer_mapping,"canonical_taboo_normal_expected,permutation_taboo_expected_normal,permutation_normal_taboo_expected,permutation_normal_expected_taboo,permutation_expected_taboo_normal,reversed_expected_normal_taboo",6.0,2.410906314849853,3.3315290212631226,3.1983017921447754,3.4408862590789795,0.7236636089502765,1.3678158407464185,3.297675848007202,Llama,0.0
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,taboo_vs_expected,mapping_balanced_direction,,pre_answer,23,,4.390783309936523,,,,,,,,,,,counterbalanced_answer_mapping,"canonical_taboo_normal_expected,permutation_taboo_expected_normal,permutation_normal_taboo_expected,permutation_normal_expected_taboo,permutation_expected_taboo_normal,reversed_expected_normal_taboo",6.0,3.0258145332336426,4.614399989446004,4.390782833099365,4.853185653686523,0.6557330400819709,1.451107721532093,4.390782833099365,Llama,4.76837158203125e-07
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,taboo_vs_normal,mapping_balanced_direction,,pre_answer,23,,4.019384384155273,,,,,,,,,,,counterbalanced_answer_mapping,"canonical_taboo_normal_expected,permutation_taboo_expected_normal,permutation_normal_taboo_expected,permutation_normal_expected_taboo,permutation_expected_taboo_normal,reversed_expected_normal_taboo",6.0,2.7304749488830566,4.187147776285808,4.019384384155273,4.374322414398193,0.6521085700264234,1.4720458745829057,4.019384384155273,Llama,0.0
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,normal_vs_expected,mapping_balanced_direction,,pre_answer,23,,4.874508380889893,,,,,,,,,,,counterbalanced_answer_mapping,"canonical_taboo_normal_expected,permutation_taboo_expected_normal,permutation_normal_taboo_expected,permutation_normal_expected_taboo,permutation_expected_taboo_normal,reversed_expected_normal_taboo",6.0,3.5092012882232666,4.405769387880961,3.851606369018554,5.024654388427734,0.7965013552175694,1.3890650485299032,4.874508857727051,Mistral,4.76837158203125e-07
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,taboo_vs_expected,mapping_balanced_direction,,pre_answer,23,,6.19368314743042,,,,,,,,,,,counterbalanced_answer_mapping,"canonical_taboo_normal_expected,permutation_taboo_expected_normal,permutation_normal_taboo_expected,permutation_normal_expected_taboo,permutation_expected_taboo_normal,reversed_expected_normal_taboo",6.0,4.887331962585449,6.179073810577393,5.899619102478027,6.329105854034424,0.790948953258864,1.2672932221523867,6.193682670593262,Mistral,4.76837158203125e-07
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,taboo_vs_normal,mapping_balanced_direction,,pre_answer,23,,5.692905426025391,,,,,,,,,,,counterbalanced_answer_mapping,"canonical_taboo_normal_expected,permutation_taboo_expected_normal,permutation_normal_taboo_expected,permutation_normal_expected_taboo,permutation_expected_taboo_normal,reversed_expected_normal_taboo",6.0,4.453163623809815,5.723100741704305,5.61329460144043,5.816562175750732,0.7781033088164178,1.278395744451658,5.692905426025391,Mistral,0.0
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,normal_vs_expected,mapping_balanced_direction,,pre_answer,20,,30.011693954467773,,,,,,,,,,,counterbalanced_answer_mapping,"canonical_taboo_normal_expected,permutation_taboo_expected_normal,permutation_normal_taboo_expected,permutation_normal_expected_taboo,permutation_expected_taboo_normal,reversed_expected_normal_taboo",6.0,24.006053924560547,30.21918837229411,28.94826316833496,31.42729377746582,0.7943977061465372,1.250171896171693,30.011693954467773,Qwen,0.0
