model_alias,model_name,semantic_mapping,n_vocabularies,n_vocabularies_passed,common_competence_passed
gemma2_9b_it,google/gemma-2-9b-it,canonical_taboo_normal_expected,3,3,True
gemma2_9b_it,google/gemma-2-9b-it,permutation_expected_taboo_normal,3,3,True
gemma2_9b_it,google/gemma-2-9b-it,permutation_normal_expected_taboo,3,3,True
gemma2_9b_it,google/gemma-2-9b-it,permutation_normal_taboo_expected,3,3,True
gemma2_9b_it,google/gemma-2-9b-it,permutation_taboo_expected_normal,3,3,True
gemma2_9b_it,google/gemma-2-9b-it,reversed_expected_normal_taboo,3,3,True
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,canonical_taboo_normal_expected,3,2,False
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,permutation_expected_taboo_normal,3,1,False
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,permutation_normal_expected_taboo,3,3,True
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,permutation_normal_taboo_expected,3,2,False
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,permutation_taboo_expected_normal,3,1,False
llama3_1_8b_instruct,meta-llama/Llama-3.1-8B-Instruct,reversed_expected_normal_taboo,3,3,True
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,canonical_taboo_normal_expected,3,3,True
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,permutation_expected_taboo_normal,3,2,False
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,permutation_normal_expected_taboo,3,2,False
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,permutation_normal_taboo_expected,3,3,True
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,permutation_taboo_expected_normal,3,2,False
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,reversed_expected_normal_taboo,3,2,False
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,canonical_taboo_normal_expected,3,3,True
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,permutation_expected_taboo_normal,3,3,True
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,permutation_normal_expected_taboo,3,3,True
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,permutation_normal_taboo_expected,3,3,True
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,permutation_taboo_expected_normal,3,3,True
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,reversed_expected_normal_taboo,3,3,True
