model_alias,model_name,metric,interface,equal_contrast_mean_adjusted_gain,min_contrast_adjusted_gain,max_contrast_adjusted_gain,positive_contrasts,negative_contrasts,n_contrasts,n_pairs,validation_competence_pass,analysis_scope,interface_label,metric_label,model_label
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,current_label_margin,letter_canonical,13.76331144435745,10.191658207401634,16.72062047033881,3,0,3,1536,True,primary_competent_model,T/N/E (source),Semantic label,Qwen
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,current_label_margin,letter_permutation_expected_taboo_normal,-2.449570815585968,-6.190047177610298,2.704301389213652,1,2,3,1536,True,primary_competent_model,E/T/N,Semantic label,Qwen
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,current_label_margin,letter_permutation_normal_expected_taboo,-8.16012075659819,-13.73890256714076,-3.477123603783548,0,3,3,1536,True,primary_competent_model,N/E/T,Semantic label,Qwen
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,current_label_margin,letter_permutation_normal_taboo_expected,0.8533315895539193,-10.747855239640922,10.614388124179095,2,1,3,1536,True,primary_competent_model,N/T/E,Semantic label,Qwen
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,current_label_margin,letter_permutation_taboo_expected_normal,3.026845134670536,-10.92068345894416,15.110386258239547,2,1,3,1536,True,primary_competent_model,T/E/N,Semantic label,Qwen
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,current_label_margin,letter_reversed,-2.815554232755676,-10.154638462668906,3.225089867350956,1,2,3,1536,True,primary_competent_model,E/N/T,Semantic label,Qwen
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,extraction_slot_margin,letter_canonical,13.76331144435745,10.191658207401634,16.72062047033881,3,0,3,1536,True,primary_competent_model,T/N/E (source),Extraction index,Qwen
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,extraction_slot_margin,letter_permutation_expected_taboo_normal,11.820148490131317,10.852629424134893,13.03825274258852,3,0,3,1536,True,primary_competent_model,E/T/N,Extraction index,Qwen
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,extraction_slot_margin,letter_permutation_normal_expected_taboo,11.352386309149573,9.872491369396448,13.34562516969939,3,0,3,1536,True,primary_competent_model,N/E/T,Extraction index,Qwen
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,extraction_slot_margin,letter_permutation_normal_taboo_expected,11.483194639761416,9.12838165704161,14.573347023067376,3,0,3,1536,True,primary_competent_model,N/T/E,Extraction index,Qwen
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,extraction_slot_margin,letter_permutation_taboo_expected_normal,13.527632514387369,10.92068345894416,14.980506290867924,3,0,3,1536,True,primary_competent_model,T/E/N,Extraction index,Qwen
qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,extraction_slot_margin,letter_reversed,11.767112380255844,10.154638462451596,13.27883690148592,3,0,3,1536,True,primary_competent_model,E/N/T,Extraction index,Qwen
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,current_label_margin,letter_canonical,8.017929751343198,7.021420538425446,9.09858799179395,3,0,3,1536,True,primary_competent_model,T/N/E (source),Semantic label,Mistral
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,current_label_margin,letter_permutation_expected_taboo_normal,-3.743298696809345,-5.828850946823756,-2.236198671658834,0,3,3,1536,True,primary_competent_model,E/T/N,Semantic label,Mistral
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,current_label_margin,letter_permutation_normal_expected_taboo,-1.3050505426194934,-2.685208988189697,1.3351772944132487,1,2,3,1536,True,primary_competent_model,N/E/T,Semantic label,Mistral
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,current_label_margin,letter_permutation_normal_taboo_expected,-0.8988630748457377,-7.167017796635628,4.530622460444769,1,2,3,1536,True,primary_competent_model,N/T/E,Semantic label,Mistral
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,current_label_margin,letter_permutation_taboo_expected_normal,2.269575591219796,-6.693422325452169,7.868790749708811,2,1,3,1536,True,primary_competent_model,T/E/N,Semantic label,Mistral
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,current_label_margin,letter_reversed,1.158909986416499,-5.784883203109105,5.73979363044103,2,1,3,1536,True,primary_competent_model,E/N/T,Semantic label,Mistral
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,extraction_slot_margin,letter_canonical,8.017929751343198,7.021420538425446,9.09858799179395,3,0,3,1536,True,primary_competent_model,T/N/E (source),Extraction index,Mistral
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,extraction_slot_margin,letter_permutation_expected_taboo_normal,6.426059112615055,5.763017698129018,7.218743106722831,3,0,3,1536,True,primary_competent_model,E/T/N,Extraction index,Mistral
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,extraction_slot_margin,letter_permutation_normal_expected_taboo,7.244630600346459,6.39600378870964,7.985116475820542,3,0,3,1536,True,primary_competent_model,N/E/T,Extraction index,Mistral
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,extraction_slot_margin,letter_permutation_normal_taboo_expected,6.881015711691645,6.58695281346639,7.167017796635628,3,0,3,1536,True,primary_competent_model,N/T/E,Extraction index,Mistral
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,extraction_slot_margin,letter_permutation_taboo_expected_normal,7.640454723437627,6.693422325452169,9.319778142372767,3,0,3,1536,True,primary_competent_model,T/E/N,Extraction index,Mistral
mistral7b_instruct_v03,mistralai/Mistral-7B-Instruct-v0.3,extraction_slot_margin,letter_reversed,7.09491300119294,5.784883203109105,8.206241552035014,3,0,3,1536,True,primary_competent_model,E/N/T,Extraction index,Mistral
gemma2_9b_it,google/gemma-2-9b-it,current_label_margin,letter_canonical,0.8399580266740587,0.2300989468892415,1.941564671198527,3,0,3,1536,True,primary_competent_model,T/N/E (source),Semantic label,Gemma
gemma2_9b_it,google/gemma-2-9b-it,current_label_margin,letter_permutation_expected_taboo_normal,-0.3644348409440782,-0.9895991166432698,0.4237467447916667,1,2,3,1536,True,primary_competent_model,E/T/N,Semantic label,Gemma
gemma2_9b_it,google/gemma-2-9b-it,current_label_margin,letter_permutation_normal_expected_taboo,0.3134437614017062,0.0899388949076334,0.676201597849528,3,0,3,1536,True,primary_competent_model,N/E/T,Semantic label,Gemma
gemma2_9b_it,google/gemma-2-9b-it,current_label_margin,letter_permutation_normal_taboo_expected,0.4541577868991428,-0.3167431036631266,0.9927867412567138,2,1,3,1536,True,primary_competent_model,N/T/E,Semantic label,Gemma
gemma2_9b_it,google/gemma-2-9b-it,current_label_margin,letter_permutation_taboo_expected_normal,-0.1551829391055637,-1.856063461303711,0.7735164483388265,2,1,3,1536,True,primary_competent_model,T/E/N,Semantic label,Gemma
gemma2_9b_it,google/gemma-2-9b-it,current_label_margin,letter_reversed,-0.0218132813771565,-0.5430677572886149,0.3886164506276449,2,1,3,1536,True,primary_competent_model,E/N/T,Semantic label,Gemma
gemma2_9b_it,google/gemma-2-9b-it,extraction_slot_margin,letter_canonical,0.8399580266740587,0.2300989468892415,1.941564671198527,3,0,3,1536,True,primary_competent_model,T/N/E (source),Extraction index,Gemma
gemma2_9b_it,google/gemma-2-9b-it,extraction_slot_margin,letter_permutation_expected_taboo_normal,0.5266475200653077,-0.4131720066070556,1.8388405799865724,2,1,3,1536,True,primary_competent_model,E/T/N,Extraction index,Gemma
gemma2_9b_it,google/gemma-2-9b-it,extraction_slot_margin,letter_permutation_normal_expected_taboo,0.2442417833540174,-0.5228960196177165,1.0427570025126138,2,1,3,1536,True,primary_competent_model,N/E/T,Extraction index,Gemma
gemma2_9b_it,google/gemma-2-9b-it,extraction_slot_margin,letter_permutation_normal_taboo_expected,0.4363107999165853,-0.6864297231038411,1.6152212460835775,2,1,3,1536,True,primary_competent_model,N/T/E,Extraction index,Gemma
gemma2_9b_it,google/gemma-2-9b-it,extraction_slot_margin,letter_permutation_taboo_expected_normal,0.8526610268486872,0.2595705032348633,1.856063461303711,3,0,3,1536,True,primary_competent_model,T/E/N,Extraction index,Gemma
gemma2_9b_it,google/gemma-2-9b-it,extraction_slot_margin,letter_reversed,0.1991942670610216,-0.493986177444458,1.180580441157023,1,2,3,1536,True,primary_competent_model,E/N/T,Extraction index,Gemma
