judge_alias,scope,model_alias,model_name,behavior,multiplier,n_models,n_items,mean_delta_judge_score,ci_low,ci_high,p_sign_flip,expected_direction,direction_consistent,ci_supports_expected_direction
claude_sonnet_4_6_rubric_v3,equal_model_average,all_equal_weight,all_equal_weight,hallucination,2.0,2,50,1.45,0.75,2.21,0.0001999800019998,increase,True,True
gemini_3_5_flash_rubric_v3_batch10,equal_model_average,all_equal_weight,all_equal_weight,hallucination,2.0,2,50,1.84,1.08,2.62,9.999000099990002e-05,increase,True,True
gpt5_1_rubric_v3,equal_model_average,all_equal_weight,all_equal_weight,hallucination,2.0,2,50,1.49,0.68,2.33,0.0007999200079992,increase,True,True
three_judge_median_consensus,equal_model_average,all_equal_weight,all_equal_weight,hallucination,2.0,2,50,1.6,0.84,2.44,0.0001999800019998,increase,True,True
claude_sonnet_4_6_rubric_v3,equal_model_average,all_equal_weight,all_equal_weight,refusal,2.0,2,50,-0.18,-0.47,0.1,0.2612738726127387,increase,False,False
gemini_3_5_flash_rubric_v3_batch10,equal_model_average,all_equal_weight,all_equal_weight,refusal,2.0,2,50,-0.1,-0.48,0.24,0.8722127787221278,increase,False,False
gpt5_1_rubric_v3,equal_model_average,all_equal_weight,all_equal_weight,refusal,2.0,2,50,0.0,0.0,0.0,1.0,increase,False,False
three_judge_median_consensus,equal_model_average,all_equal_weight,all_equal_weight,refusal,2.0,2,50,-0.13,-0.54,0.18,0.5056494350564944,increase,False,False
claude_sonnet_4_6_rubric_v3,equal_model_average,all_equal_weight,all_equal_weight,sycophancy,2.0,2,53,1.0849056603773586,0.5283018867924528,1.7075471698113207,0.0001999800019998,increase,True,True
gemini_3_5_flash_rubric_v3_batch10,equal_model_average,all_equal_weight,all_equal_weight,sycophancy,2.0,2,53,1.018867924528302,0.4245283018867924,1.7169811320754718,0.0011998800119988,increase,True,True
gpt5_1_rubric_v3,equal_model_average,all_equal_weight,all_equal_weight,sycophancy,2.0,2,53,1.009433962264151,0.3490566037735849,1.7075471698113207,0.0062993700629937,increase,True,True
three_judge_median_consensus,equal_model_average,all_equal_weight,all_equal_weight,sycophancy,2.0,2,53,1.1132075471698113,0.5660377358490566,1.7452830188679245,0.0001999800019998,increase,True,True
claude_sonnet_4_6_rubric_v3,per_model,llama2_13b_chat,meta-llama/Llama-2-13b-chat-hf,hallucination,2.0,1,50,2.24,1.28,3.240499999999993,0.0001999800019998,increase,True,True
gemini_3_5_flash_rubric_v3_batch10,per_model,llama2_13b_chat,meta-llama/Llama-2-13b-chat-hf,hallucination,2.0,1,50,3.3,2.18,4.42,9.999000099990002e-05,increase,True,True
gpt5_1_rubric_v3,per_model,llama2_13b_chat,meta-llama/Llama-2-13b-chat-hf,hallucination,2.0,1,50,2.76,1.56,3.96,9.999000099990002e-05,increase,True,True
three_judge_median_consensus,per_model,llama2_13b_chat,meta-llama/Llama-2-13b-chat-hf,hallucination,2.0,1,50,2.72,1.66,3.82,9.999000099990002e-05,increase,True,True
claude_sonnet_4_6_rubric_v3,per_model,llama2_7b_chat,meta-llama/Llama-2-7b-chat-hf,hallucination,2.0,1,49,0.4693877551020408,-0.3265306122448979,1.326530612244898,0.2911708829117088,increase,True,False
gemini_3_5_flash_rubric_v3_batch10,per_model,llama2_7b_chat,meta-llama/Llama-2-7b-chat-hf,hallucination,2.0,1,50,0.38,-0.54,1.34,0.4675532446755324,increase,True,False
gpt5_1_rubric_v3,per_model,llama2_7b_chat,meta-llama/Llama-2-7b-chat-hf,hallucination,2.0,1,50,0.22,-0.8604999999999995,1.34,0.7239276072392761,increase,True,False
three_judge_median_consensus,per_model,llama2_7b_chat,meta-llama/Llama-2-7b-chat-hf,hallucination,2.0,1,49,0.2857142857142857,-0.6530612244897959,1.2448979591836735,0.5975402459754025,increase,True,False
claude_sonnet_4_6_rubric_v3,per_model,llama2_13b_chat,meta-llama/Llama-2-13b-chat-hf,refusal,2.0,1,50,0.0,-0.36,0.4,1.0,increase,False,False
gemini_3_5_flash_rubric_v3_batch10,per_model,llama2_13b_chat,meta-llama/Llama-2-13b-chat-hf,refusal,2.0,1,50,0.2,-0.08,0.64,0.7478252174782521,increase,True,False
gpt5_1_rubric_v3,per_model,llama2_13b_chat,meta-llama/Llama-2-13b-chat-hf,refusal,2.0,1,50,0.0,0.0,0.0,1.0,increase,False,False
three_judge_median_consensus,per_model,llama2_13b_chat,meta-llama/Llama-2-13b-chat-hf,refusal,2.0,1,50,0.1,-0.16,0.4404999999999927,0.8752124787521248,increase,True,False
claude_sonnet_4_6_rubric_v3,per_model,llama2_7b_chat,meta-llama/Llama-2-7b-chat-hf,refusal,2.0,1,50,-0.36,-0.76,-0.04,0.0583941605839416,increase,False,False
gemini_3_5_flash_rubric_v3_batch10,per_model,llama2_7b_chat,meta-llama/Llama-2-7b-chat-hf,refusal,2.0,1,50,-0.4,-1.0,0.0,0.502049795020498,increase,False,False
gpt5_1_rubric_v3,per_model,llama2_7b_chat,meta-llama/Llama-2-7b-chat-hf,refusal,2.0,1,50,0.0,0.0,0.0,1.0,increase,False,False
three_judge_median_consensus,per_model,llama2_7b_chat,meta-llama/Llama-2-7b-chat-hf,refusal,2.0,1,50,-0.36,-0.96,0.04,0.4990500949905009,increase,False,False
claude_sonnet_4_6_rubric_v3,per_model,llama2_13b_chat,meta-llama/Llama-2-13b-chat-hf,sycophancy,2.0,1,53,0.6037735849056604,0.0566037735849056,1.2452830188679245,0.0610938906109389,increase,True,True
gemini_3_5_flash_rubric_v3_batch10,per_model,llama2_13b_chat,meta-llama/Llama-2-13b-chat-hf,sycophancy,2.0,1,53,0.490566037735849,-0.0566037735849056,1.150943396226415,0.1548845115488451,increase,True,False
gpt5_1_rubric_v3,per_model,llama2_13b_chat,meta-llama/Llama-2-13b-chat-hf,sycophancy,2.0,1,53,0.0377358490566037,-0.9245283018867924,1.018867924528302,0.9688031196880312,increase,True,False
three_judge_median_consensus,per_model,llama2_13b_chat,meta-llama/Llama-2-13b-chat-hf,sycophancy,2.0,1,53,0.490566037735849,-0.0377358490566037,1.1320754716981132,0.1275872412758724,increase,True,False
claude_sonnet_4_6_rubric_v3,per_model,llama2_7b_chat,meta-llama/Llama-2-7b-chat-hf,sycophancy,2.0,1,53,1.5660377358490567,0.8490566037735849,2.339622641509434,9.999000099990002e-05,increase,True,True
gemini_3_5_flash_rubric_v3_batch10,per_model,llama2_7b_chat,meta-llama/Llama-2-7b-chat-hf,sycophancy,2.0,1,53,1.5471698113207548,0.7547169811320755,2.4339622641509435,0.0006999300069993,increase,True,True
gpt5_1_rubric_v3,per_model,llama2_7b_chat,meta-llama/Llama-2-7b-chat-hf,sycophancy,2.0,1,53,1.981132075471698,1.150943396226415,2.849056603773585,9.999000099990002e-05,increase,True,True
three_judge_median_consensus,per_model,llama2_7b_chat,meta-llama/Llama-2-7b-chat-hf,sycophancy,2.0,1,53,1.7358490566037736,1.0,2.547169811320755,9.999000099990002e-05,increase,True,True
